
AP UTC TIME:2026-03-18-02-15-35, reset cnt:0
Jan  1 08:00:04.500 (none) syslog.info syslogd started: BusyBox v1.35.0
Jan  1 08:00:04.505 (none) kern.notice kernel: klogd started: BusyBox v1.35.0 (2026-03-13 00:09:36 CST)
Jan  1 08:00:04.509 (none) kern.err kernel: [   28.264771] pl320 40000000.pl320: IRQ index 5 not found
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.270615] pl320 40000000.pl320: chan[5], src_int[14] mbox[2] dst_int[2] irq[-6] src_ep[AP] dst_ep[SCP], init[0]
Jan  1 08:00:04.509 (none) kern.err kernel: [   28.282110] pl320 40000000.pl320: IRQ index 6 not found
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.287953] pl320 40000000.pl320: chan[6], src_int[22] mbox[6] dst_int[6] irq[-6] src_ep[SH0] dst_ep[SCP], init[0]
Jan  1 08:00:04.509 (none) kern.err kernel: [   28.299556] pl320 40000000.pl320: IRQ index 7 not found
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.305402] pl320 40000000.pl320: chan[7], src_int[23] mbox[7] dst_int[7] irq[-6] src_ep[SH0] dst_ep[SCP], init[0]
Jan  1 08:00:04.509 (none) kern.err kernel: [   28.316991] vivian_pl320_get_chan chan = 2 is outrange, only 0 rx channels for AP
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.325536] pl320 40612000.pl320: pl320_probe : enable clk success
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.332552] pl320 40612000.pl320: chan[0], src_int[13] mbox[0] dst_int[0] irq[19] src_ep[DSP0] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.344301] pl320 40612000.pl320: chan[1], src_int[14] mbox[1] dst_int[1] irq[20] src_ep[DSP1] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.356051] pl320 40612000.pl320: chan[2], src_int[15] mbox[2] dst_int[2] irq[21] src_ep[DSP2] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.367794] pl320 40612000.pl320: chan[3], src_int[16] mbox[3] dst_int[3] irq[22] src_ep[DSP3] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.379542] pl320 40612000.pl320: chan[4], src_int[19] mbox[4] dst_int[4] irq[23] src_ep[SH0] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.391190] pl320 40612000.pl320: chan[5], src_int[20] mbox[5] dst_int[5] irq[24] src_ep[SH0] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.402833] pl320 40612000.pl320: chan[6], src_int[21] mbox[6] dst_int[6] irq[25] src_ep[SH0] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.414486] pl320 40612000.pl320: chan[7], src_int[22] mbox[7] dst_int[7] irq[26] src_ep[SH0] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.426133] pl320 40612000.pl320: chan[8], src_int[23] mbox[8] dst_int[8] irq[27] src_ep[SH0] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.err kernel: [   28.437732] vivian_pl320_get_chan chan = 2 is outrange, only 0 rx channels for AP
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.446240] pl320 40613000.pl320: pl320_probe : enable clk success
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.453253] pl320 40613000.pl320: chan[0], src_int[21] mbox[0] dst_int[0] irq[28] src_ep[AP] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.464805] pl320 40613000.pl320: chan[1], src_int[22] mbox[1] dst_int[1] irq[29] src_ep[AP] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.476359] pl320 40613000.pl320: chan[2], src_int[23] mbox[2] dst_int[2] irq[30] src_ep[AP] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.487908] pl320 40613000.pl320: chan[3], src_int[13] mbox[3] dst_int[3] irq[31] src_ep[SCP] dst_ep[A55], init[1]
