工单ID	工单状态	资产名称	分支	扫描类型	命中规则	工单处理人	资产负责人	创建时间	Leader	问题路径	处理节点	工单链接	服务树路径(仅针对TCC检测)	代码详情
85668002	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer-global.pico-interactive.com		zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Editor/PcConfig.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668002_num_
85668001	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer.picoxr.com	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Editor/ProjectValidation/PXR_ProjectValidationRecommend.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668001_num_
85668000	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer-global.pico-interactive.com		zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Editor/PXR_SDKSettingEditor.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668000_num_
85667999	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer-cn.pico-interactive.com		zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Editor/PcConfig.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667999_num_
85667998	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer-cn.picoxr.com	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Editor/ProjectValidation/PXR_ProjectValidationRecommend.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667998_num_
85667997	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://upm-registry.bytedance.net	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	Packages/manifest.json	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667997_num_
85667996	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://upm-registry.bytedance.net	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	ProjectSettings/PackageManagerSettings.asset	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667996_num_
85667995	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer.picoxr.com	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Editor/ProjectValidation/PXR_ProjectValidationRequired.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667995_num_
85667994	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://upm-registry.bytedance.net	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	Packages/packages-lock.json	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667994_num_
85667993	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer-cn.picoxr.com	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Editor/ProjectValidation/PXR_ProjectValidationRequired.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667993_num_
85667989	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	domain	https://developer.pico-interactive.com		zhaozhenjia	2026-02-24 13:35:53	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Editor/PXR_PlatformSettingEditor.cs	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667989_num_
85667974	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.so		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Android/libs/arm64-v8a/libPicoSpatializer.so	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667974_num_
85667973	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Plugins/Android/pxraratom.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667973_num_
85667972	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Third Party/DOTween/DOTween43.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667972_num_
85667971	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Third Party/DOTween/Editor/DOTweenEditor.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667971_num_
85667970	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Third Party/DOTween/DOTween.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667970_num_
85667969	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Third Party/DOTween/DOTween46.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667969_num_
85667968	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.so		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Android/libs/arm64-v8a/libPicoAmbisonicDecoder.so	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667968_num_
85667967	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.so		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Android/libs/armeabi-v7a/libPicoSpatializer.so	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667967_num_
85667966	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Plugins/Libs/Jeffijoe.MessageFormat.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667966_num_
85667965	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Third Party/DOTween/DOTween50.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667965_num_
85667964	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.jar		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Plugins/Android/lib/pxrnotification.jar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667964_num_
85667963	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.jar		zhaozhenjia	2026-02-24 13:35:47	hanbingtian	Assets/Plugins/Android/lib/configclientlibrary.jar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667963_num_
85667961	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.jar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	Assets/Plugins/Android/lib/safearealib.jar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667961_num_
85667960	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	Assets/Plugins/Libs/Microsoft.Extensions.ObjectPool.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667960_num_
85667959	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	Assets/Plugins/Android/blspace_lib.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667959_num_
85667958	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.so		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Android/libs/armeabi-v7a/libPicoAmbisonicDecoder.so	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667958_num_
